#Time,feature,NeutronCount_Epithermal_Cum1hrQualityFlag in []
2015-08-09T22:00:00.000000+0200,Jungfraujoch,155.787,42027.0
2015-08-09T23:00:00.000000+0200,Jungfraujoch,156.202,42027.0
2015-08-10T00:00:00.000000+0200,Jungfraujoch,155.759,42027.0
2015-08-10T01:00:00.000000+0200,Jungfraujoch,155.662,42027.0
2015-08-10T02:00:00.000000+0200,Jungfraujoch,154.698,42027.0
2015-08-10T03:00:00.000000+0200,Jungfraujoch,154.818,42027.0
2015-08-10T04:00:00.000000+0200,Jungfraujoch,155.133,42027.0
2015-08-10T05:00:00.000000+0200,Jungfraujoch,155.766,42027.0
2015-08-10T06:00:00.000000+0200,Jungfraujoch,155.569,42027.0
2015-08-10T07:00:00.000000+0200,Jungfraujoch,156.05,42027.0
2015-08-10T08:00:00.000000+0200,Jungfraujoch,155.192,42027.0
2015-08-10T09:00:00.000000+0200,Jungfraujoch,155.726,42027.0
2015-08-10T10:00:00.000000+0200,Jungfraujoch,156.258,42027.0
2015-08-10T11:00:00.000000+0200,Jungfraujoch,156.247,42027.0
2015-08-10T12:00:00.000000+0200,Jungfraujoch,156.719,42027.0
2015-08-10T13:00:00.000000+0200,Jungfraujoch,156.801,42027.0
2015-08-10T14:00:00.000000+0200,Jungfraujoch,156.729,42027.0
2015-08-10T15:00:00.000000+0200,Jungfraujoch,156.967,42027.0
2015-08-10T16:00:00.000000+0200,Jungfraujoch,156.967,42027.0
2015-08-10T17:00:00.000000+0200,Jungfraujoch,157.216,42027.0
2015-08-10T18:00:00.000000+0200,Jungfraujoch,156.492,42027.0
2015-08-10T19:00:00.000000+0200,Jungfraujoch,156.28,42027.0
2015-08-10T20:00:00.000000+0200,Jungfraujoch,156.344,42027.0
2015-08-10T21:00:00.000000+0200,Jungfraujoch,156.779,42027.0
2015-08-10T22:00:00.000000+0200,Jungfraujoch,156.668,42027.0
2015-08-10T23:00:00.000000+0200,Jungfraujoch,155.506,42027.0
2015-08-11T00:00:00.000000+0200,Jungfraujoch,155.086,42027.0
2015-08-11T01:00:00.000000+0200,Jungfraujoch,155.058,42027.0
2015-08-11T02:00:00.000000+0200,Jungfraujoch,155.434,42027.0
2015-08-11T03:00:00.000000+0200,Jungfraujoch,155.294,42027.0
2015-08-11T04:00:00.000000+0200,Jungfraujoch,155.937,42027.0
2015-08-11T05:00:00.000000+0200,Jungfraujoch,155.46,42027.0
2015-08-11T06:00:00.000000+0200,Jungfraujoch,156.259,42027.0
2015-08-11T07:00:00.000000+0200,Jungfraujoch,155.934,42027.0
2015-08-11T08:00:00.000000+0200,Jungfraujoch,156.053,42027.0
2015-08-11T09:00:00.000000+0200,Jungfraujoch,156.239,42027.0
2015-08-11T10:00:00.000000+0200,Jungfraujoch,157.232,42027.0
2015-08-11T11:00:00.000000+0200,Jungfraujoch,156.225,42027.0
2015-08-11T12:00:00.000000+0200,Jungfraujoch,156.127,42027.0
2015-08-11T13:00:00.000000+0200,Jungfraujoch,154.716,42027.0
2015-08-11T14:00:00.000000+0200,Jungfraujoch,155.069,42027.0
2015-08-11T15:00:00.000000+0200,Jungfraujoch,154.172,42027.0
2015-08-11T16:00:00.000000+0200,Jungfraujoch,153.077,42027.0
2015-08-11T17:00:00.000000+0200,Jungfraujoch,153.492,42027.0
2015-08-11T18:00:00.000000+0200,Jungfraujoch,153.08,42027.0
2015-08-11T19:00:00.000000+0200,Jungfraujoch,153.008,42027.0
2015-08-11T20:00:00.000000+0200,Jungfraujoch,153.015,42027.0
2015-08-11T21:00:00.000000+0200,Jungfraujoch,153.588,42027.0
2015-08-11T22:00:00.000000+0200,Jungfraujoch,153.201,42027.0
2015-08-11T23:00:00.000000+0200,Jungfraujoch,152.677,42027.0
2015-08-12T00:00:00.000000+0200,Jungfraujoch,152.23,42027.0
2015-08-12T01:00:00.000000+0200,Jungfraujoch,152.599,42027.0
2015-08-12T02:00:00.000000+0200,Jungfraujoch,152.659,42027.0
2015-08-12T03:00:00.000000+0200,Jungfraujoch,152.866,42027.0
2015-08-12T04:00:00.000000+0200,Jungfraujoch,153.069,42027.0
2015-08-12T05:00:00.000000+0200,Jungfraujoch,152.816,42027.0
2015-08-12T06:00:00.000000+0200,Jungfraujoch,153.051,42027.0
2015-08-12T07:00:00.000000+0200,Jungfraujoch,152.789,42027.0
2015-08-12T08:00:00.000000+0200,Jungfraujoch,152.663,42027.0
2015-08-12T09:00:00.000000+0200,Jungfraujoch,153.123,42027.0
2015-08-12T10:00:00.000000+0200,Jungfraujoch,152.92,42027.0
2015-08-12T11:00:00.000000+0200,Jungfraujoch,152.691,42027.0
2015-08-12T12:00:00.000000+0200,Jungfraujoch,152.8,42027.0
2015-08-12T13:00:00.000000+0200,Jungfraujoch,153.364,42027.0
2015-08-12T14:00:00.000000+0200,Jungfraujoch,152.987,42027.0
2015-08-12T15:00:00.000000+0200,Jungfraujoch,153.153,42027.0
2015-08-12T16:00:00.000000+0200,Jungfraujoch,153.635,42027.0
2015-08-12T17:00:00.000000+0200,Jungfraujoch,153.126,42027.0
2015-08-12T18:00:00.000000+0200,Jungfraujoch,152.676,42027.0
2015-08-12T19:00:00.000000+0200,Jungfraujoch,152.188,42027.0
2015-08-12T20:00:00.000000+0200,Jungfraujoch,152.128,42027.0
2015-08-12T21:00:00.000000+0200,Jungfraujoch,153.22,42027.0
2015-08-12T22:00:00.000000+0200,Jungfraujoch,152.943,42027.0
2015-08-12T23:00:00.000000+0200,Jungfraujoch,152.104,42027.0
2015-08-13T00:00:00.000000+0200,Jungfraujoch,152.581,42027.0
2015-08-13T01:00:00.000000+0200,Jungfraujoch,153.069,42027.0
2015-08-13T02:00:00.000000+0200,Jungfraujoch,153.653,42027.0
2015-08-13T03:00:00.000000+0200,Jungfraujoch,153.996,42027.0
2015-08-13T04:00:00.000000+0200,Jungfraujoch,153.442,42027.0
2015-08-13T05:00:00.000000+0200,Jungfraujoch,153.693,42027.0
2015-08-13T06:00:00.000000+0200,Jungfraujoch,153.907,42027.0
2015-08-13T07:00:00.000000+0200,Jungfraujoch,153.469,42027.0
2015-08-13T08:00:00.000000+0200,Jungfraujoch,154.169,42027.0
2015-08-13T09:00:00.000000+0200,Jungfraujoch,154.361,42027.0
2015-08-13T10:00:00.000000+0200,Jungfraujoch,154.39,42027.0
2015-08-13T11:00:00.000000+0200,Jungfraujoch,153.904,42027.0
2015-08-13T12:00:00.000000+0200,Jungfraujoch,153.583,42027.0
2015-08-13T13:00:00.000000+0200,Jungfraujoch,154.808,42027.0
2015-08-13T14:00:00.000000+0200,Jungfraujoch,155.429,42027.0
2015-08-13T15:00:00.000000+0200,Jungfraujoch,155.92,42027.0
2015-08-13T16:00:00.000000+0200,Jungfraujoch,155.545,42027.0
2015-08-13T17:00:00.000000+0200,Jungfraujoch,155.751,42027.0
2015-08-13T18:00:00.000000+0200,Jungfraujoch,154.66,42027.0
2015-08-13T19:00:00.000000+0200,Jungfraujoch,155.225,42027.0
2015-08-13T20:00:00.000000+0200,Jungfraujoch,155.439,42027.0
2015-08-13T21:00:00.000000+0200,Jungfraujoch,154.815,42027.0
2015-08-13T22:00:00.000000+0200,Jungfraujoch,154.883,42027.0
2015-08-13T23:00:00.000000+0200,Jungfraujoch,154.324,42027.0
2015-08-14T00:00:00.000000+0200,Jungfraujoch,154.961,42027.0
2015-08-14T01:00:00.000000+0200,Jungfraujoch,154.69,42027.0
2015-08-14T02:00:00.000000+0200,Jungfraujoch,155.154,42027.0
2015-08-14T03:00:00.000000+0200,Jungfraujoch,155.189,42027.0
2015-08-14T04:00:00.000000+0200,Jungfraujoch,155.155,42027.0
2015-08-14T05:00:00.000000+0200,Jungfraujoch,153.388,42027.0
2015-08-14T06:00:00.000000+0200,Jungfraujoch,153.021,42027.0
2015-08-14T07:00:00.000000+0200,Jungfraujoch,153.496,42027.0
2015-08-14T08:00:00.000000+0200,Jungfraujoch,153.924,42027.0
2015-08-14T09:00:00.000000+0200,Jungfraujoch,153.511,42027.0
2015-08-14T10:00:00.000000+0200,Jungfraujoch,153.257,42027.0
2015-08-14T11:00:00.000000+0200,Jungfraujoch,154.02,42027.0
2015-08-14T12:00:00.000000+0200,Jungfraujoch,154.418,42027.0
2015-08-14T13:00:00.000000+0200,Jungfraujoch,155.332,42027.0
2015-08-14T14:00:00.000000+0200,Jungfraujoch,155.05,42027.0
2015-08-14T15:00:00.000000+0200,Jungfraujoch,155.107,42027.0
2015-08-14T16:00:00.000000+0200,Jungfraujoch,154.862,42027.0
2015-08-14T17:00:00.000000+0200,Jungfraujoch,155.079,42027.0
2015-08-14T18:00:00.000000+0200,Jungfraujoch,154.745,42027.0
2015-08-14T19:00:00.000000+0200,Jungfraujoch,154.211,42027.0
2015-08-14T20:00:00.000000+0200,Jungfraujoch,154.877,42027.0
2015-08-14T21:00:00.000000+0200,Jungfraujoch,153.727,42027.0
2015-08-14T22:00:00.000000+0200,Jungfraujoch,153.538,42027.0
2015-08-14T23:00:00.000000+0200,Jungfraujoch,153.77,42027.0
2015-08-15T00:00:00.000000+0200,Jungfraujoch,153.37,42027.0
2015-08-15T01:00:00.000000+0200,Jungfraujoch,153.658,42027.0
2015-08-15T02:00:00.000000+0200,Jungfraujoch,154.125,42027.0
2015-08-15T03:00:00.000000+0200,Jungfraujoch,153.992,42027.0
2015-08-15T04:00:00.000000+0200,Jungfraujoch,154.645,42027.0
2015-08-15T05:00:00.000000+0200,Jungfraujoch,154.081,42027.0
2015-08-15T06:00:00.000000+0200,Jungfraujoch,153.918,42027.0
2015-08-15T07:00:00.000000+0200,Jungfraujoch,154.249,42027.0
2015-08-15T08:00:00.000000+0200,Jungfraujoch,154.671,42027.0
2015-08-15T09:00:00.000000+0200,Jungfraujoch,154.314,42027.0
2015-08-15T10:00:00.000000+0200,Jungfraujoch,153.568,42027.0
2015-08-15T11:00:00.000000+0200,Jungfraujoch,153.428,42027.0
2015-08-15T12:00:00.000000+0200,Jungfraujoch,153.487,42027.0
2015-08-15T13:00:00.000000+0200,Jungfraujoch,154.462,42027.0
2015-08-15T14:00:00.000000+0200,Jungfraujoch,155.478,42027.0
2015-08-15T15:00:00.000000+0200,Jungfraujoch,154.874,42027.0
2015-08-15T16:00:00.000000+0200,Jungfraujoch,154.482,42027.0
2015-08-15T17:00:00.000000+0200,Jungfraujoch,153.708,42027.0
2015-08-15T18:00:00.000000+0200,Jungfraujoch,152.423,42027.0
2015-08-15T19:00:00.000000+0200,Jungfraujoch,152.797,42027.0
2015-08-15T20:00:00.000000+0200,Jungfraujoch,153.214,42027.0
2015-08-15T21:00:00.000000+0200,Jungfraujoch,153.08,42027.0
2015-08-15T22:00:00.000000+0200,Jungfraujoch,152.551,42027.0
2015-08-15T23:00:00.000000+0200,Jungfraujoch,151.937,42027.0
2015-08-16T00:00:00.000000+0200,Jungfraujoch,151.985,42027.0
2015-08-16T01:00:00.000000+0200,Jungfraujoch,152.155,42027.0
2015-08-16T02:00:00.000000+0200,Jungfraujoch,152.41,42027.0
2015-08-16T03:00:00.000000+0200,Jungfraujoch,152.475,42027.0
2015-08-16T04:00:00.000000+0200,Jungfraujoch,152.794,42027.0
2015-08-16T05:00:00.000000+0200,Jungfraujoch,152.252,42027.0
2015-08-16T06:00:00.000000+0200,Jungfraujoch,152.246,42027.0
